"Postal.Code" "Place.Name" "State" "State.Abbreviation" "County" "Latitude" "Longitude"
"90" "01114" "Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"91" "01115" "Springfield" "Massachusetts" "MA" "Hampden" "42.1029" "-72.5916"
"92" "01116" "Longmeadow" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"93" "01118" "Springfield" "Massachusetts" "MA" "Hampden" "42.0929" "-72.5274"
"94" "01119" "Springfield" "Massachusetts" "MA" "Hampden" "42.1247" "-72.5121"
"95" "01128" "Springfield" "Massachusetts" "MA" "Hampden" "42.0944" "-72.4889"
"96" "01129" "Springfield" "Massachusetts" "MA" "Hampden" "42.1223" "-72.4876"
"97" "01133" "Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"98" "01138" "Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"99" "01139" "Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"100" "01144" "Springfield" "Massachusetts" "MA" "Hampden" "42.1018" "-72.5915"
"101" "01151" "Indian Orchard" "Massachusetts" "MA" "Hampden" "42.1532" "-72.505"
"102" "01152" "Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"103" "01195" "Springfield" "Massachusetts" "MA" "" "42.1029" "-72.5921"
"104" "01199" "Springfield" "Massachusetts" "MA" "Hampden" "42.1199" "-72.605"
"105" "01201" "Pittsfield" "Massachusetts" "MA" "Berkshire" "42.4531" "-73.2471"
"106" "01202" "Pittsfield" "Massachusetts" "MA" "Berkshire" "42.3929" "-73.2285"
"107" "01203" "Pittsfield" "Massachusetts" "MA" "Berkshire" "42.3929" "-73.2285"
"108" "01220" "Adams" "Massachusetts" "MA" "Berkshire" "42.6223" "-73.1172"
"109" "01222" "Ashley Falls" "Massachusetts" "MA" "Berkshire" "42.0596" "-73.3202"
"110" "01223" "Becket" "Massachusetts" "MA" "Berkshire" "42.3594" "-73.1203"
"111" "01224" "Berkshire" "Massachusetts" "MA" "Berkshire" "42.5065" "-73.1975"
"112" "01225" "Cheshire" "Massachusetts" "MA" "Berkshire" "42.5611" "-73.158"
"113" "01226" "Dalton" "Massachusetts" "MA" "Berkshire" "42.475" "-73.1603"
"114" "01227" "Dalton" "Massachusetts" "MA" "Berkshire" "42.5161" "-73.0929"
"115" "01229" "Glendale" "Massachusetts" "MA" "Berkshire" "42.2793" "-73.3435"
